xRoadEnd1,yRoadEnd1,xRoadEnd2,xRoadEnd2,xTrack,yTrack
779.86,1256.5,781.86,1258.5,780.86,1257.5
783.67,1257.8,785.67,1259.8,784.67,1258.8
787.48,1259,789.48,1261,788.48,1260
791.29,1260.2,793.29,1262.2,792.29,1261.2
795.1,1261.4,797.1,1263.4,796.1,1262.4
798.91,1262.7,800.91,1264.7,799.91,1263.7
802.72,1263.9,804.72,1265.9,803.72,1264.9
806.53,1265.1,808.53,1267.1,807.53,1266.1
810.34,1266.3,812.34,1268.3,811.34,1267.3
814.15,1267.6,816.15,1269.6,815.15,1268.6
817.96,1268.8,819.96,1270.8,818.96,1269.8
821.77,1270,823.77,1272,822.77,1271
825.58,1271.2,827.58,1273.2,826.58,1272.2
829.39,1272.5,831.39,1274.5,830.39,1273.5
833.2,1273.7,835.2,1275.7,834.2,1274.7
837.01,1274.9,839.01,1276.9,838.01,1275.9
840.82,1276.1,842.82,1278.1,841.82,1277.1
844.63,1277.3,846.63,1279.3,845.63,1278.3
848.44,1278.6,850.44,1280.6,849.44,1279.6
852.25,1279.8,854.25,1281.8,853.25,1280.8
856.06,1281,858.06,1283,857.06,1282
859.88,1282.2,861.88,1284.2,860.88,1283.2
863.69,1283.5,865.69,1285.5,864.69,1284.5
867.5,1284.7,869.5,1286.7,868.5,1285.7
871.31,1285.9,873.31,1287.9,872.31,1286.9
875.12,1287.1,877.12,1289.1,876.12,1288.1
878.93,1288.4,880.93,1290.4,879.93,1289.4
882.74,1289.6,884.74,1291.6,883.74,1290.6
886.55,1290.8,888.55,1292.8,887.55,1291.8
890.36,1292,892.36,1294,891.36,1293
894.17,1293.3,896.17,1295.3,895.17,1294.3
897.98,1294.5,899.98,1296.5,898.98,1295.5
901.79,1295.7,903.79,1297.7,902.79,1296.7
905.6,1296.9,907.6,1298.9,906.6,1297.9
909.41,1298.1,911.41,1300.1,910.41,1299.1
913.19,1299.7,915.19,1301.7,914.19,1300.7
916.17,1302.4,918.17,1304.4,917.17,1303.4
919.14,1305.1,921.14,1307.1,920.14,1306.1
922.11,1307.8,924.11,1309.8,923.11,1308.8
923.73,1311.5,925.73,1313.5,924.73,1312.5
923.95,1315.6,925.95,1317.6,924.95,1316.6
924.16,1319.7,926.16,1321.7,925.16,1320.7
924.35,1323.8,926.35,1325.8,925.35,1324.8
923.32,1327.8,925.32,1329.8,924.32,1328.8
922.29,1331.7,924.29,1333.7,923.29,1332.7
921.26,1335.7,923.26,1337.7,922.26,1336.7
920.16,1339.5,922.16,1341.5,921.16,1340.5
918.96,1343.4,920.96,1345.4,919.96,1344.4
917.75,1347.2,919.75,1349.2,918.75,1348.2
916.54,1351,918.54,1353,917.54,1352
915.34,1354.8,917.34,1356.8,916.34,1355.8
914.13,1358.6,916.13,1360.6,915.13,1359.6
912.93,1362.5,914.93,1364.5,913.93,1363.5
911.72,1366.3,913.72,1368.3,912.72,1367.3
910.52,1370.1,912.52,1372.1,911.52,1371.1
909.31,1373.9,911.31,1375.9,910.31,1374.9
908.1,1377.7,910.1,1379.7,909.1,1378.7
906.9,1381.5,908.9,1383.5,907.9,1382.5
905.69,1385.4,907.69,1387.4,906.69,1386.4
904.49,1389.2,906.49,1391.2,905.49,1390.2
903.28,1393,905.28,1395,904.28,1394
902.07,1396.8,904.07,1398.8,903.07,1397.8
900.87,1400.6,902.87,1402.6,901.87,1401.6
899.66,1404.5,901.66,1406.5,900.66,1405.5
898.46,1408.3,900.46,1410.3,899.46,1409.3
897.25,1412.1,899.25,1414.1,898.25,1413.1
896.04,1415.9,898.04,1417.9,897.04,1416.9
894.78,1419.7,896.78,1421.7,895.78,1420.7
893.23,1423.5,895.23,1425.5,894.23,1424.5
891.68,1427.3,893.68,1429.3,892.68,1428.3
889.39,1430.6,891.39,1432.6,890.39,1431.6
885.42,1431.3,887.42,1433.3,886.42,1432.3
881.45,1432,883.45,1434,882.45,1433
877.48,1432.7,879.48,1434.7,878.48,1433.7
873.44,1432.5,875.44,1434.5,874.44,1433.5
869.66,1431.1,871.66,1433.1,870.66,1432.1
865.89,1429.6,867.89,1431.6,866.89,1430.6
862.12,1428.2,864.12,1430.2,863.12,1429.2
858.32,1426.6,860.32,1428.6,859.32,1427.6
854.59,1425,856.59,1427,855.59,1426
850.86,1423.3,852.86,1425.3,851.86,1424.3
847.13,1421.7,849.13,1423.7,848.13,1422.7
843.27,1420.6,845.27,1422.6,844.27,1421.6
839.19,1420.5,841.19,1422.5,840.19,1421.5
835.65,1422.5,837.65,1424.5,836.65,1423.5
833.63,1425.9,835.63,1427.9,834.63,1426.9
831.61,1429.4,833.61,1431.4,832.61,1430.4
829.58,1432.8,831.58,1434.8,830.58,1433.8
827.56,1436.3,829.56,1438.3,828.56,1437.3
825.54,1439.8,827.54,1441.8,826.54,1440.8
823.52,1443.2,825.52,1445.2,824.52,1444.2
821.5,1446.7,823.5,1448.7,822.5,1447.7
819.48,1450.1,821.48,1452.1,820.48,1451.1
817.46,1453.6,819.46,1455.6,818.46,1454.6
815.44,1457,817.44,1459,816.44,1458
813.42,1460.5,815.42,1462.5,814.42,1461.5
811.4,1463.9,813.4,1465.9,812.4,1464.9
809.38,1467.4,811.38,1469.4,810.38,1468.4
807.36,1470.9,809.36,1472.9,808.36,1471.9
805.34,1474.3,807.34,1476.3,806.34,1475.3
803.31,1477.8,805.31,1479.8,804.31,1478.8
801.29,1481.2,803.29,1483.2,802.29,1482.2
799.27,1484.7,801.27,1486.7,800.27,1485.7
797.25,1488.1,799.25,1490.1,798.25,1489.1
795.23,1491.6,797.23,1493.6,796.23,1492.6
793.21,1495,795.21,1497,794.21,1496
791.19,1498.5,793.19,1500.5,792.19,1499.5
789.17,1502,791.17,1504,790.17,1503
787.15,1505.4,789.15,1507.4,788.15,1506.4
785.13,1508.9,787.13,1510.9,786.13,1509.9
783.11,1512.3,785.11,1514.3,784.11,1513.3
781.09,1515.8,783.09,1517.8,782.09,1516.8
779.28,1519.4,781.28,1521.4,780.28,1520.4
779.92,1523.4,781.92,1525.4,780.92,1524.4
780.56,1527.4,782.56,1529.4,781.56,1528.4
782.57,1530.9,784.57,1532.9,783.57,1531.9
786.09,1532.9,788.09,1534.9,787.09,1533.9
789.61,1534.9,791.61,1536.9,790.61,1535.9
793.14,1536.9,795.14,1538.9,794.14,1537.9
796.66,1538.9,798.66,1540.9,797.66,1539.9
800.19,1540.9,802.19,1542.9,801.19,1541.9
803.71,1542.9,805.71,1544.9,804.71,1543.9
807.24,1544.9,809.24,1546.9,808.24,1545.9
810.76,1546.9,812.76,1548.9,811.76,1547.9
814.29,1548.9,816.29,1550.9,815.29,1549.9
817.81,1550.9,819.81,1552.9,818.81,1551.9
821.34,1552.9,823.34,1554.9,822.34,1553.9
824.86,1554.9,826.86,1556.9,825.86,1555.9
828.39,1556.9,830.39,1558.9,829.39,1557.9
831.91,1558.9,833.91,1560.9,832.91,1559.9
835.44,1560.9,837.44,1562.9,836.44,1561.9
