Acceleration,Steering angle
0.044744,0.0089472
0.20143,0.0022249
0.10072,0.012494
0.13747,-0.016304
0.14355,-0.0057861
0.28341,0.0041962
0.11321,-0.02013
0.11493,-0.0064132
0.26238,-0.00015856
0.27563,-0.0013699
0.14035,-0.010093
0.16141,-0.0013906
0.064314,-0.0061627
0.26836,0.00073594
-0.12633,-0.0038539
-1.8916,0.012326
-2.2986,-0.07853
-2.9454,-0.10679
-2.9949,-0.26746
-2.8566,-0.20798
-2.984,-0.32534
-2.9417,-0.19303
-2.9146,-0.18836
-2.8962,-0.1531
-0.87482,-0.019252
-0.99038,0.0039534
-2.6528,-0.028016
-2.5918,0.042421
-2.8883,-0.13292
-2.8759,-0.10463
-2.9961,-0.22421
-2.9507,-0.14861
-2.9991,-0.095408
-2.9963,-0.075737
-2.9843,-0.10828
-1.7451,-0.093258
2.5824,-0.024033
2.2665,-0.0043216
2.2307,-0.038536
0.20376,-0.006236
-0.41951,0.0088382
-2.5379,0.034755
-2.9554,-0.24107
-2.9732,-0.143
-2.9963,-0.087121
-2.9955,-0.24224
-2.9899,-0.22412
-2.9968,-0.019599
-2.9359,0.075202
-2.966,0.019814
-2.893,0.16683
-2.9828,0.036034
-2.234,0.11515
-2.6391,-0.0074935
1.3352,-0.037775
2.3215,-0.014797
2.7945,0.005839
0.2162,-0.011351
2.1961,-0.094027
0.13716,0.0055161
-1.0579,-0.0046444
-1.1585,0.015913
-1.0237,-0.049984
-1.4,0.014707
-2.6557,0.039755
-2.4928,0.068786
-2.7182,0.11662
-2.6569,0.12383
-2.7902,0.24027
-2.4958,0.14523
-2.4045,0.14481
-2.3908,0.14232
-2.4433,0.15723
-2.525,0.14058
-2.5484,0.18793
-2.1198,0.15254
-2.2404,0.15098
-2.2952,0.091386
-0.84252,0.073099
0.30988,0.079079
1.8906,0.066485
2.3219,0.041194
2.3423,0.047264
2.6174,0.031682
2.5625,0.014879
2.1645,0.0066458
0.39876,-0.02776
2.9938,0.061297
2.0433,-0.002234
1.4809,-0.28066
1.5558,-0.11936
0.56045,-0.067628
2.7661,-0.038389
0.93413,-0.030272
2.6393,-0.011477
2.2669,-0.008874
0.34405,-0.021317
0.59204,-0.033107
0.91333,-0.0056365
2.9507,0.0035444
0.31992,0.0067991
2.3113,0.063587
2.6728,0.11461
2.0938,-0.0010434
1.7123,-0.22472
1.4675,-0.27232
1.0711,-0.1217
0.24616,-0.16601
1.5048,-0.10011
1.6662,-0.043876
1.9121,-0.02817
0.24036,-0.051927
1.5191,-0.027576
0.86333,-0.030997
1.528,0.022624
0.75598,0.0058584
0.67574,-0.0038611
0.47715,-0.027624
0.55835,-0.034872
0.030854,-0.10479
0.084768,-0.096191
2.0821,-0.063202
0.44535,0.0030987
1.6637,0.031919
0.98683,-0.013043
1.2122,-0.047475
1.1508,-0.021324
0.2003,-0.007083
0.19454,-0.015454
0.19138,-0.022792
0.19261,-0.02121
0.1935,-0.020065
0.21841,-0.04513
2.7428,-0.032772
0.21125,-0.052645
1.1,-0.016014
1.8009,-0.0071671
0.20953,-0.045298
0.98534,-0.002572
0.20975,-0.034937
0.9801,-0.0022533
0.20725,-0.031141
0.96772,-0.0017247
0.20525,-0.031898
0.96344,-0.0015324
0.20304,-0.028551
0.94702,-0.00077322
0.20061,-0.029317
0.92415,0.00028469
0.19812,-0.031032
0.90773,0.0011099
0.19562,-0.031657
0.89042,0.0018762
0.19301,-0.032621
0.87904,0.0023773
0.19043,-0.033558
0.86417,0.002967
0.18781,-0.034239
0.85896,0.0030218
0.18578,-0.03371
0.8454,0.0033902
0.18342,-0.033389
0.84877,0.0032146
0.1812,-0.033212
0.84554,0.0032497
0.1798,-0.031908
0.82689,0.0037435
0.17889,-0.030199
0.77077,0.0058023
0.17465,-0.033165
0.81023,0.0042068
0.17427,-0.030816
0.74245,0.0062095
0.17013,-0.033249
0.78921,0.0049012
0.17067,-0.030246
0.35566,-0.005803
0.1422,-0.011148
0.85653,-0.005677
0.13783,-0.012781
0.7603,0.0059344
0.26735,-0.013156
0.26043,-0.009243
0.30869,0.0011213
0.85363,-0.040927
0.36087,-0.016541
0.95277,0.0033364
0.17313,-0.014997
0.66905,0.0042727
0.16381,-0.014362
0.62612,0.0078576
0.15786,-0.023032
0.50575,0.016937
0.26171,-0.0023795
0.21547,-0.04436
0.33413,-0.011931
0.15735,-0.017315
0.50547,0.0093488
0.15449,-0.019687
0.28794,-0.0016981
0.17704,-0.014314
0.64348,0.0097211
0.14602,-0.02578
0.23394,-0.0052832
0.46015,-0.0018887
0.23549,-0.009809
0.10931,-0.0026971
0.10902,-0.0027032
0.10871,-0.002712
0.1084,-0.0027336
0.10814,-0.002858
0.10548,-0.0077657
0.20334,-0.0034473
0.10627,-0.0026887
0.10602,-0.0027046
0.10574,-0.0027468
0.10499,-0.0074759
0.10462,-0.0026843
0.1044,-0.0026963
0.10413,-0.0027379
0.10329,-0.0061754
0.10318,-0.0026933
0.1029,-0.0027301
0.10207,-0.0054678
0.10203,-0.0027076
0.099757,-0.00179
0.1008,-0.0045867
0.098911,-0.0017284
0.098588,-0.0018098
0.099635,-0.0044173
0.097757,-0.0014813
0.096865,-0.0012374
0.09647,-0.0012503
0.096086,-0.0012489
0.095697,-0.0012678
0.095302,-0.0012647
0.094641,-0.0011329
0.094254,-0.0011436
0.094133,-0.0012583
0.093482,-0.0011427
0.093355,-0.0012528
0.09296,-0.0012644
0.092566,-0.0012548
0.092176,-0.0012504
0.091528,-0.0011334
0.091397,-0.0012445
0.091009,-0.0012557
0.09062,-0.0012472
0.090226,-0.0012431
0.089576,-0.0011264
0.089448,-0.0012386
0.089056,-0.0012509
0.088664,-0.0012426
0.088284,-0.00124
0.087618,-0.0011244
0.087497,-0.0012363
0.087584,-0.0017224
0.087292,-0.0018362
0.088003,-0.0039043
0.086439,-0.0017441
0.086142,-0.0018969
0.086909,-0.0037871
0.085251,-0.0017253
0.084903,-0.0017665
0.086432,-0.0032506
0.083982,-0.0039755
