Acceleration,Steering angle
0.022441,-0.011368
0.023087,-0.017803
0.022678,-0.014326
0.022502,-0.012477
0.022416,-0.011366
0.023064,-0.0178
0.02265,-0.014323
0.02247,-0.012473
0.022383,-0.01136
0.02305,-0.017799
0.022636,-0.014318
0.022434,-0.012474
0.022364,-0.011359
0.023009,-0.017797
0.022596,-0.014314
0.022411,-0.012471
0.022335,-0.011354
0.022997,-0.017796
0.022563,-0.014311
0.02238,-0.012467
0.022303,-0.011351
0.022957,-0.017793
0.022535,-0.014305
0.022352,-0.012461
0.022278,-0.011349
0.02294,-0.017791
0.022518,-0.014304
0.022333,-0.012463
0.022245,-0.01135
0.022903,-0.01779
0.022477,-0.0143
0.022297,-0.012459
0.022231,-0.011344
0.022866,-0.017786
0.02246,-0.014292
0.022265,-0.012455
0.022185,-0.011343
0.022838,-0.017785
0.022433,-0.01429
0.022238,-0.012454
0.022153,-0.01134
0.022816,-0.017782
0.022404,-0.014286
0.022218,-0.01245
0.02213,-0.011336
0.022785,-0.017781
0.022372,-0.014283
0.022183,-0.012443
0.0221,-0.01133
0.022757,-0.017777
0.022344,-0.014278
0.022153,-0.01244
0.022069,-0.011327
0.022734,-0.017773
0.022315,-0.014272
0.022122,-0.012437
0.022041,-0.011324
0.02271,-0.017774
0.022279,-0.014272
0.02209,-0.012434
0.022013,-0.011323
0.022679,-0.017771
0.022262,-0.014265
0.022064,-0.012432
0.021989,-0.011319
0.022648,-0.017767
0.022233,-0.014259
0.022039,-0.012428
0.021955,-0.011314
0.022627,-0.017765
0.022201,-0.014256
0.022013,-0.012422
0.02193,-0.01131
0.022589,-0.017763
0.02218,-0.01425
0.021994,-0.012422
0.0219,-0.011309
0.022574,-0.017762
0.022146,-0.014248
0.021956,-0.012416
0.021874,-0.011305
0.022565,-0.017761
0.022123,-0.014247
0.021933,-0.012416
0.021846,-0.011303
0.022518,-0.017757
0.022091,-0.01424
0.021902,-0.01241
0.02182,-0.011298
0.022484,-0.017756
0.022066,-0.014236
0.02186,-0.012407
0.021789,-0.011295
0.022449,-0.017752
0.022035,-0.01423
0.021843,-0.012401
0.021756,-0.011291
0.022437,-0.017749
0.022006,-0.014227
0.021812,-0.012399
0.02173,-0.011286
0.022414,-0.017747
0.021983,-0.014222
0.021788,-0.012396
0.021704,-0.011282
0.022391,-0.017746
0.021954,-0.014218
0.02176,-0.012391
0.021674,-0.011281
0.02237,-0.017743
0.021925,-0.014214
0.021732,-0.012387
0.021658,-0.011276
0.022339,-0.017741
0.021907,-0.014209
0.021702,-0.012384
0.02162,-0.011272
0.02232,-0.017739
0.021874,-0.014206
0.021687,-0.01238
0.021595,-0.011267
0.022284,-0.017736
0.021838,-0.0142
0.021641,-0.012374
0.021567,-0.011261
0.022255,-0.017733
0.021811,-0.014196
0.021636,-0.012369
0.021538,-0.01126
0.02224,-0.017732
0.021792,-0.014194
0.021597,-0.012368
0.02151,-0.011257
0.022205,-0.017731
